invoice_number,po_number,invoiced_total,po_total,matching_status
INV-800008,PO-4500000008,50697.1,50697.1,BLOCK_VENDOR_MISMATCH
INV-800009,PO-4500000009,24930.63,24930.63,AUTO_POST_READY
INV-800001,PO-4500000001,16164.3,16164.3,AUTO_POST_READY
INV-800000,PO-4500000000,7516.27,7516.27,AUTO_POST_READY
INV-800014,PO-4500000014,56040.47,56040.47,BLOCK_VENDOR_MISMATCH
INV-800002,PO-4500000002,32664.43,32664.43,BLOCK_VENDOR_MISMATCH
INV-800003,PO-4500000003,66195.92,66195.92,AUTO_POST_READY
INV-800007,PO-4500000007,16094.42,16094.42,AUTO_POST_READY
INV-800013,PO-4500000013,55895.57,48976.95,BLOCK_PRICE_VARIANCE
INV-800012,PO-4500000012,46067.2,42129.12,BLOCK_PRICE_VARIANCE
INV-800006,PO-4500000006,32902.2,32902.2,AUTO_POST_READY
INV-800010,PO-4500000010,48711.46,48711.46,BLOCK_VENDOR_MISMATCH
INV-800004,PO-4500000004,34594.01,34594.01,AUTO_POST_READY
INV-800005,PO-4500000005,19343.41,19343.41,BLOCK_VENDOR_MISMATCH
INV-800011,PO-4500000011,76089.11,76089.11,AUTO_POST_READY
