po_number,vendor_id,vendor_gstin,po_taxable,po_total
PO-4500000000,VND-10001,07AABDC9928F1Z6,6369.72,7516.27
PO-4500000001,VND-10001,07AABDC9928F1Z6,13698.56,16164.3
PO-4500000002,VND-10001,07AABDC9928F1Z6,27681.72,32664.43
PO-4500000003,VND-10001,07AABDC9928F1Z6,56098.24,66195.92
PO-4500000004,VND-10004,19AEABD6925F1Z9,29316.96,34594.01
PO-4500000005,VND-10001,07AABDC9928F1Z6,16392.72,19343.41
PO-4500000006,VND-10002,07CEAED6574F1Z4,27883.22,32902.2
PO-4500000007,VND-10003,27EBAAE5333F1Z0,13639.34,16094.42
PO-4500000008,VND-10002,07CEAED6574F1Z4,42963.64,50697.1
PO-4500000009,VND-10004,19AEABD6925F1Z9,21127.65,24930.63
PO-4500000010,VND-10001,07AABDC9928F1Z6,41280.9,48711.46
PO-4500000011,VND-10002,07CEAED6574F1Z4,64482.3,76089.11
PO-4500000012,VND-10004,19AEABD6925F1Z9,35702.64,42129.12
PO-4500000013,VND-10000,29DBAAD9935F1Z1,41505.89,48976.95
PO-4500000014,VND-10002,07CEAED6574F1Z4,47491.92,56040.47
